,ipc_all,lag_1,lag_2,lag_3,lag_6,lag_9,lag_12,oil_cb,sugar_sc,milk2_cb,watermelon_po,flour_lp,chicken_tj,lard_co,onion2_tj,ycorn_tj,platano_co,oil_su,chicken_co,rice_cb,inflacion,tomato_tj,chicken_tr,papa2_tj,silver,sugar_tj,chicken_cb,squash_co,peas_tj,rice3_po,peas_su,papaya_su,carrot_tj,bean_cb,yuca_lp,set,freq,w_per_m
2017-03-19,,0.0627719658486388,0.15083477491675198,0.27828817145388524,0.07223217340220903,0.3139161812557874,-0.07801414830590982,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442741,0.11250454678991585,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.3799410259119284,-0.4890816321859462,-0.8063690397795718,-0.5819496585330876,0.22470831259098792,-0.23464127786792344,-0.0914267806662198,1.2100593068676562,-0.761045640005288,0.637184197269019,-0.914517623117101,-0.9231535021741731,-0.351645229114725,-0.02668126762812974,0.06580720414894818,-0.30987529792796104,0.5760982401813013,0.14105382482372408,0.056526483176783784,train,week,4
2017-03-26,,0.0627719658486388,0.15083477491675198,0.27828817145388524,0.07223217340220903,0.3139161812557874,-0.07801414830590982,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442741,-0.0010927369412185623,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.30708370396315293,-0.4890816321859462,-0.8063690397795718,-0.6587334885862416,0.5375862214530855,0.1291979503761873,-0.6947287044679353,1.2100593068676562,-0.687840600680525,0.637184197269019,-1.0091200032796324,-0.9231535021741731,-0.11419637753672798,-0.02668126762812974,-0.5231394913252218,-0.30987529792796104,1.9162184310661874,0.18247773089703076,0.27040239915184977,train,week,4
2017-03-31,3.3366812341881324,0.0627719658486388,0.15083477491675198,0.27828817145388524,0.07223217340220903,0.3139161812557874,-0.07801414830590982,0.24036418692077086,0.5854985703865284,0.9029496717667764,-0.6317389407955585,-0.8929661803794705,0.06120254768553243,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.4181323640302379,-0.48908163218594614,-0.8407493289964413,-0.5212656638136596,0.9398578185614965,-0.001862416787013852,-0.21350253650879533,1.2100593068676562,-0.6993887121529266,0.5542165518863795,-0.6519477516455855,-0.9231535021741731,-0.0516426478199437,-0.026681267628129737,-0.06844731137849681,-0.30987529792796104,1.63673350003393,0.34034671855889537,0.12900696133380488,train,month,4
2017-04-09,,0.007051542438343887,0.05822942223354958,0.14067657843313472,0.08677054522372489,0.07246207773208066,0.26213961536089847,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442741,-0.6372375258355738,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.4892270088350917,-0.4890816321859462,-0.98400053406673,0.14749672697187596,0.9180060281012866,-0.35592102061596037,-2.504634475873082,1.2100593068676562,-0.6051232780133206,0.637184197269019,-2.0458848634281894,-0.9231535021741731,-0.5732641572541889,-0.02668126762812974,-0.8961390651255294,-0.30987529792796104,1.853887259397123,-0.1074896116161161,0.06781913154026716,train,week,4
2017-04-16,,0.007051542438343887,0.05822942223354958,0.14067657843313472,0.08677054522372489,0.07246207773208066,0.26213961536089847,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442741,-0.4441221434926442,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.4345840173735101,-0.4890816321859462,-0.98400053406673,0.22428055702503005,0.8925122725643749,-0.9016798629821265,-2.504634475873082,1.2100593068676562,-0.5623929125106625,0.7300081493963609,-2.1540018693282255,-0.9231535021741731,-0.19334599472939365,-0.02668126762812974,-0.22866614358813678,-0.30987529792796104,1.3552378860446073,-0.23767903070365143,0.13198190633278695,train,week,4
2017-04-23,,0.007051542438343887,0.05822942223354958,0.14067657843313472,0.08677054522372489,0.07246207773208066,0.26213961536089847,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442741,-0.6826764393280279,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.4345840173735101,-0.4890816321859462,-0.98400053406673,0.22428055702503005,0.8670185170274632,-0.23464127786792344,-2.0932922550991853,1.2100593068676562,-0.6102687036788035,0.7648171314441142,-1.6558913778602038,-0.9231535021741731,0.10742255060273591,-0.02668126762812974,-0.5820341608726388,-0.30987529792796104,2.009715188569784,-0.3086914411150343,-0.06067751877755247,train,week,4
2017-04-30,2.509490347270349,0.007051542438343887,0.05822942223354958,0.14067657843313472,0.08677054522372489,0.07246207773208066,0.26213961536089847,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442742,-0.5740017045585741,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.43883402782052167,-0.48908163218594614,-0.98400053406673,0.1884481030002253,0.8305988662604467,-0.3478357044327578,-2.242289548401729,1.2100593068676546,-0.6268164253663349,0.7292346164619666,-1.7094672156053112,-0.9231535021741731,-0.17698840717624265,-0.026681267628129737,-0.8267742321030159,-0.30987529792796104,1.6824765373071957,-0.18560326306863736,-0.11019407084409959,train,month,4
2017-05-14,,-0.35499715489614575,0.0029212502959112077,0.05064138459277604,0.24008066267213593,0.04130225577132599,0.620164559947718,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442741,-0.6826764393280279,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.4345840173735101,-0.4890816321859462,-0.98400053406673,0.22428055702503005,0.7486546520346592,-0.7500801845470804,-2.504634475873082,1.2100593068676562,-0.9151750851782566,0.7725524607880594,-1.1963941027850515,-0.9231535021741731,0.3132115553036666,-0.02668126762812974,-1.0531915172519748,-0.30987529792796104,0.6072638260158334,0.18839543176464604,-0.7662969407624901,train,week,4
2017-05-21,,-0.35499715489614575,0.0029212502959112077,0.05064138459277604,0.24008066267213593,0.04130225577132599,0.620164559947718,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442741,-0.7962737230591628,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.3799410259119284,-0.4890816321859462,-0.98400053406673,0.22428055702503005,0.7008538604029498,-1.0229596057301633,-1.956178181507886,1.2100593068676562,-0.832160580408177,0.7725524607880594,-1.3778762198315404,-0.9231535021741731,0.12325247404126904,-0.02668126762812974,-1.1709808563468087,-0.30987529792796104,0.17094562433238214,0.24757244044079846,-0.7662969407624901,train,week,4
2017-05-28,,-0.35499715489614575,0.0029212502959112077,0.05064138459277604,0.24008066267213593,0.04130225577132599,0.620164559947718,0.24036418692077086,0.5854985703865284,0.8818887767443885,-0.6317389407955585,-0.9169073081442741,-1.0802669323869998,-0.7684713472870909,-0.6786489890461952,0.7529806578406204,0.25244071250157135,-0.4890816321859462,-0.98400053406673,0.22428055702503005,0.6530530687712405,-1.5080785767223108,-1.7367956637618078,1.2100593068676562,-0.7619273621121654,0.7725524607880594,-1.1944634419654083,-0.9231535021741731,-0.0033869134669960352,-0.02668126762812974,-1.4065595345364768,-0.30987529792796104,0.0462832809942532,-0.20217282549795998,-0.7662969407624901,train,week,4
