,ipc_all,lag_1,lag_2,lag_3,lag_6,lag_9,lag_12,ufv,banana_co,beef_lp,papa2_or,squash_tr,noodle_sc,greenbean_tr,peas_lp,beef_or,ycorn_tr,paprika_tr,noodle_tj,tomato_lp,papa2_tr,peas_or,banana_tj,tomato_tr,milk_or,libor,yuca_sc,papa2_sc,peas_po,oil2_sc,lard_co,tomato_co,freq
2021-11-07,,105.1485213624,105.3861152076,105.5928891968,104.8753807081,105.2407868792,104.3521594822,2.37118,120.0,21.75,26.332,42.5,70.0,80.0,82.232,22.25,92.5,130.0,80.0,86.0,40.0,66.0,35.5,125.0,5.57,0.216852,37.0,20.4,70.0,8.01,210.0,140.0,week
2021-11-14,,105.1485213624,105.3861152076,105.5928891968,104.8753807081,105.2407868792,104.3521594822,2.371612857142857,120.0,20.5,33.51833333333334,42.5,70.0,80.0,83.61,22.5,92.5,130.0,80.0,84.91666666666667,40.0,64.58333333333333,35.0,125.0,5.57,0.221502,41.333333333333336,25.666666666666668,71.25,8.01,210.0,140.0,week
2021-11-21,,105.1485213624,105.3861152076,105.5928891968,104.8753807081,105.2407868792,104.3521594822,2.37184,120.0,21.785,36.67,42.5,70.0,80.0,81.66666666666667,23.0,92.5,130.0,80.0,70.45833333333333,46.66666666666666,60.0,35.0,125.0,5.57,0.226928,36.833333333333336,26.166666666666668,69.58333333333333,8.13,210.0,140.0,week
2021-11-28,,105.1485213624,105.3861152076,105.5928891968,104.8753807081,105.2407868792,104.3521594822,2.37205,120.0,21.570000000000004,35.0,42.5,70.0,80.0,74.16666666666667,22.666666666666668,92.5,130.0,80.0,63.0,45.0,59.583333333333336,35.0,105.0,5.57,0.246054,30.33333333333333,30.0,69.58333333333333,8.1,210.0,140.0,week
2021-11-30,105.3525568253,105.1485213624,105.3861152076,105.5928891968,104.8753807081,105.2407868792,104.3521594822,2.371705,120.0,21.3952,33.3564,42.5,70.0,80.0,80.3128,22.61,92.5,130.0,80.0,74.29,43.2,61.6,35.1,117.8,5.57,0.2293604545454545,36.04,26.04,70.5,8.0676,210.0,140.0,month
2021-12-05,,105.3525568253,105.1485213624,105.3861152076,104.8890668935,105.115719769,104.5807979129,2.3722600000000003,120.0,21.5,36.02166666666667,42.5,70.0,80.0,76.38833333333334,22.5,92.5,130.0,80.0,55.5,45.0,54.16666666666666,35.0,95.0,5.57,0.259526,31.0,28.33333333333333,75.0,8.1,210.0,140.0,week
2021-12-12,,105.3525568253,105.1485213624,105.3861152076,104.8890668935,105.115719769,104.5807979129,2.372482857142857,120.0,21.33333333333333,40.23,42.5,70.0,80.0,76.66666666666667,22.5,92.5,130.0,80.0,57.0,45.0,57.5,35.0,81.66666666666667,5.57,0.283928,31.62166666666667,32.0,68.75,8.1,210.0,140.0,week
2021-12-19,,105.3525568253,105.1485213624,105.3861152076,104.8890668935,105.115719769,104.5807979129,2.37286,120.0,20.5,39.045,42.05,70.0,79.10833333333333,75.27833333333334,22.5,92.5,128.45,80.0,61.806666666666665,45.0,65.83333333333333,35.0,75.05833333333332,5.57,0.302402,29.666666666666668,34.166666666666664,72.91666666666667,8.1,210.0,140.0,week
2021-12-26,,105.3525568253,105.1485213624,105.3861152076,104.8890668935,105.115719769,104.5807979129,2.3732800000000003,120.0,20.95,38.89,41.96,70.0,78.93,79.334,22.5,92.5,128.14,80.0,61.364,45.0,76.0,35.0,75.07,5.57,0.327854,30.574,38.8,88.5,8.1,210.0,140.0,week
2021-12-31,105.5230190914,105.3525568253,105.1485213624,105.3861152076,104.8890668935,105.115719769,104.5807979129,2.372903548387097,120.0,21.07692307692308,39.21346153846154,42.18846153846154,70.0,79.38269230769232,77.46807692307692,22.5,92.5,128.92692307692306,80.0,59.32615384615384,45.0,65.57692307692308,35.0,79.65576923076922,5.569999999999999,0.3088721739130434,29.39192307692308,34.53846153846154,77.3076923076923,8.1,210.0,140.0,month
