,cpi,ridge,lasso,ada,gbr,rf,et,set,min,max,w_avg,w_avg_best
2014-11-11,,4.326244191331661,3.6548223044261117,3.9747712269837674,3.8492647828663396,3.9494940314633715,4.293472297932237,day,3.6548223044261117,4.326244191331661,4.063889796485722,4.193180200973535
2014-11-12,,4.389725574994408,3.6576254109703203,3.9747712269837674,4.010568887026029,3.9546503474274752,4.334268698289897,day,3.6576254109703203,4.389725574994408,4.116054801999681,4.275205811734843
2014-11-13,,4.391660957458974,3.6644351540144378,3.9747712269837674,4.361065033209083,3.9371592097890997,4.320963774030383,day,3.6644351540144378,4.391660957458974,4.169783523574547,4.362724880202232
2014-11-14,,4.528380087334771,3.698830232960839,4.092800277610142,4.329993434262127,3.9507241044525423,4.357470596393572,day,3.698830232960839,4.528380087334771,4.230948612618241,4.426259822634286
2014-11-15,,4.766821577037677,3.7235309664109724,4.092800277610142,4.301963724762082,3.996881823226001,4.3797948151903805,day,3.7235309664109724,4.766821577037677,4.305071360927359,4.531533466512267
2014-11-16,,4.772572204134693,3.7244678604131805,4.092800277610142,4.301963724762082,3.996881823226001,4.378914418367898,day,3.7244678604131805,4.772572204134693,4.3066329890740285,4.533825221628145
2014-11-17,,4.905144214250252,3.7549715182687455,3.9747712269837674,4.265429914942546,3.9481415653213463,4.298554140202895,day,3.7549715182687455,4.905144214250252,4.3063558705197025,4.559349291122685
2014-11-18,,4.75490190047652,3.738018664177233,3.9747712269837674,4.160616786225056,3.953422977652233,4.33605390002601,day,3.738018664177233,4.75490190047652,4.252940607789352,4.476688030657145
2014-11-19,,4.691971320058181,3.7293268314230543,3.9747712269837674,3.850831894140486,3.977218618952345,4.29584561210754,day,3.7293268314230543,4.691971320058181,4.17934511227235,4.356693962859262
2014-11-20,,4.664768982892277,3.7084118617182322,3.9747712269837674,4.197499396974113,3.938594367385937,4.3066611385336655,day,3.7084118617182322,4.664768982892277,4.222731146209705,4.43745804604913
2014-11-21,,4.7431422813315445,3.7291822485863775,3.9747712269837674,4.228157726210106,3.9405509459243553,4.363845235562174,day,3.7291822485863775,4.7431422813315445,4.2631365696246855,4.49719337874751
2014-11-22,,4.896441188971224,3.749059875118135,4.092800277610142,4.25347432293459,3.9657081033483146,4.39512708259451,day,3.749059875118135,4.896441188971224,4.33625172688213,4.5811152007927145
2014-11-23,,4.896909170068094,3.748691576020961,4.092800277610142,4.25347432293459,3.9657081033483146,4.39512708259451,day,3.748691576020961,4.896909170068094,4.336330198016165,4.581323009886017
2014-11-24,,4.843061360079122,3.7641571451112923,3.9377059009295334,4.19171391617571,3.927393479535166,4.326130456536558,day,3.7641571451112923,4.843061360079122,4.276630601666795,4.520924122134576
2014-11-25,,4.876338783312979,3.7651286110687394,3.9377059009295334,4.316780977257919,3.9416134117846187,4.3127555067918095,day,3.7651286110687394,4.876338783312979,4.305224168435761,4.564057912168417
2014-11-26,,4.818025095960458,3.7501288350509463,4.05903418724455,4.213230521167926,3.9635829060917884,4.369112856739848,day,3.7501288350509463,4.818025095960458,4.2987379770398215,4.528152803455228
2014-11-27,,4.666967973665465,3.7325042994855906,4.092800277610142,4.2129489743567,3.9648758037444622,4.376323671410837,day,3.7325042994855906,4.666967973665465,4.260189086667383,4.4631469733278974
2014-11-28,,4.451926481008755,3.70585165921924,3.972192787878744,4.2251473648661255,3.9423897819745157,4.392310459693124,day,3.70585165921924,4.451926481008755,4.18379764624131,4.37556517758857
2014-11-29,,4.428709410099986,3.6903588866871795,3.972192787878744,4.25232589535714,3.879288106191787,4.397710341411726,day,3.6903588866871795,4.428709410099986,4.173836205851978,4.373888186070508
2014-11-30,4.406312432843595,4.430660418236931,3.6900575398024635,3.972192787878744,4.25232589535714,3.8659601407996607,4.397710341411726,day,3.6900575398024635,4.430660418236931,4.172908224331763,4.3747545399353855
2014-12-01,,4.668588582708784,4.375916180228086,4.387477222320064,4.947817123132702,4.668090783895512,4.741775376090158,day,4.375916180228086,4.947817123132702,4.650131135725727,4.762546112308069
2014-12-02,,4.68452544742329,4.380937925503005,4.387477222320064,4.9383756941298325,4.626778271362255,4.717642962742693,day,4.380937925503005,4.9383756941298325,4.64482032876065,4.760004820948057
2014-12-03,,5.116391288886476,4.428622445235151,4.387477222320064,4.933694486546192,4.723635026401753,4.7627995927056865,day,4.387477222320064,5.116391288886476,4.789219084958403,4.963996417231054
2014-12-04,,4.912485147487243,4.427675787752519,4.387477222320064,4.934296323728346,4.685191577372502,4.758514106635918,day,4.387477222320064,4.934296323728346,4.727729510775295,4.872332048494319
2014-12-05,,4.734910782236531,4.422459245521303,4.469245026403743,4.946699816867713,4.778434590135691,4.775583067979053,day,4.422459245521303,4.946699816867713,4.703480196717508,4.8017625708801175
2014-12-06,,4.95543491684334,4.4087702975083864,4.42126057248318,5.0064572597602846,4.6639462032772965,4.85071001598387,day,4.4087702975083864,5.0064572597602846,4.767868437007895,4.937480184203835
2014-12-07,,4.9549349029902485,4.408841931377358,4.42126057248318,4.966027459170329,4.6639462032772965,4.85071001598387,day,4.408841931377358,4.966027459170329,4.7612124032934195,4.926805503769009
2014-12-08,,4.919052925236331,4.398735927348223,4.42126057248318,4.995905058863928,4.650574091520408,4.907025176715413,day,4.398735927348223,4.995905058863928,4.76370567304285,4.935344995040361
2014-12-09,,4.9718543011918435,4.4101238301370485,4.469245026403743,5.007994530625718,4.784944419659405,4.918857001475818,day,4.4101238301370485,5.007994530625718,4.8046681769390975,4.96543614332347
2014-12-10,,5.1113724018159425,4.421291607005217,4.469245026403743,5.000332159831182,4.780805264197718,4.917740128592385,day,4.421291607005217,5.1113724018159425,4.843024164482081,5.0250765965545785
2014-12-11,,5.2080114450337485,4.4349443014888,4.469245026403743,5.021325666076521,4.804053071921478,4.907247338936201,day,4.4349443014888,5.2080114450337485,4.875653439430645,5.070296584733649
2014-12-12,,5.025852769909278,4.404270560891657,4.469245026403743,5.11155286813652,4.7598390177703775,5.0171252634686745,day,4.404270560891657,5.11155286813652,4.8511085261632605,5.045413892660545
2014-12-13,,5.054300273874264,4.377130757370528,4.469245026403743,5.116198036113449,4.759760321038145,4.955110530866266,day,4.377130757370528,5.116198036113449,4.84444079648602,5.040803449035184
2014-12-14,,5.0617288909773475,4.378002791543649,4.469245026403743,5.116198036113449,4.759760321038145,4.96597785278222,day,4.378002791543649,5.116198036113449,4.848640501939422,5.047334181114864
2014-12-15,,4.956636580373664,4.365485079874015,4.42126057248318,5.0411430684165,4.735198102523667,5.024412701901556,day,4.365485079874015,5.0411430684165,4.807661866698859,4.998641851355479
2014-12-16,,4.782000231225173,4.356063182208731,4.42126057248318,5.036025926386179,4.722699526087542,4.95185964777694,day,4.356063182208731,5.036025926386179,4.7422840746658785,4.898193012739585
2014-12-17,,4.715781123685333,4.337265146513294,4.42126057248318,5.140515790412979,4.722770730693515,4.950943430964017,day,4.337265146513294,5.140515790412979,4.7380105635102385,4.895530252320497
2014-12-18,,4.616572293690844,4.316026798292005,4.468994354150267,4.609632480794945,4.751475795075285,5.013283898796447,day,4.316026798292005,5.013283898796447,4.64264859336726,4.732763038306777
2014-12-19,,4.758429885723685,4.343319322241475,4.469245026403743,5.1236537462866645,4.7394972123907655,5.04369656796054,day,4.343319322241475,5.1236537462866645,4.773173423533234,4.937694608743606
2014-12-20,,4.8208971975984465,4.355241335959197,4.469245026403743,5.113704163792599,4.707332729059806,5.024904890207106,day,4.355241335959197,5.113704163792599,4.783615879691127,4.9572723669704875
2014-12-21,,4.819194352691793,4.354197921145275,4.469245026403743,5.113704163792599,4.707332729059806,5.024904890207106,day,4.354197921145275,5.113704163792599,4.782998349327041,4.956516211094852
2014-12-22,,4.875518535374011,4.358049480581679,4.490902747442367,4.981959658531373,4.802569558679539,5.057457281070179,day,4.358049480581679,5.057457281070179,4.796923653852592,4.957147551672557
2014-12-23,,4.988474894064464,4.379699000703389,4.473638019880356,5.0903920701220144,4.835004171742082,5.019738660578266,day,4.379699000703389,5.0903920701220144,4.843005531575395,5.024122449517148
2014-12-24,,5.22284732293638,4.388710226674373,4.490902747442367,5.025281170914957,4.860588995202874,5.00267944323912,day,4.388710226674373,5.22284732293638,4.900540923734982,5.106289381719658
